lemma,part_of_speech,absolute_frequency
AR,PROPN,1
Advantage,PROPN,1
Anchors,PROPN,1
Atmosphere,PROPN,1
Audio,PROPN,1
Awards,PROPN,2
Breath,PROPN,1
Cues,PROPN,1
Dance,PROPN,2
Design,PROPN,5
Development,PROPN,1
Different,PROPN,1
Emotional,PROPN,3
Engagement,PROPN,2
Enhanced,PROPN,2
Enhancing,PROPN,1
Equipment,PROPN,1
Evolution,PROPN,1
Fantasy,PROPN,1
Focus,PROPN,1
Future,PROPN,1
Game,PROPN,6
GameSoundCon,NOUN,1
Gameplay,PROPN,4
Games,PROPN,2
Gaming,PROPN,1
Guitar,PROPN,1
Hero,PROPN,1
Immersion,PROPN,1
Implement,PROPN,1
Industry,PROPN,1
Influence,PROPN,1
Institute,PROPN,1
Invest,PROPN,1
Legend,PROPN,1
MIT,PROPN,1
Massachusetts,PROPN,1
Mechanic,PROPN,1
Mechanics,PROPN,1
Music,PROPN,6
Narrative,PROPN,1
Orchestra,PROPN,1
Outstanding,PROPN,1
Platforms,PROPN,1
Player,PROPN,2
Potential,PROPN,1
Power,PROPN,4
Quality,PROPN,1
Reality,PROPN,1
Recognition,PROPN,1
Remake,PROPN,1
Revolution,PROPN,1
Rhythm,PROPN,1
Role,PROPN,2
Sound,PROPN,9
Sounds,PROPN,1
Soundtrack,PROPN,1
Soundtracks,PROPN,1
Stimulation,PROPN,1
Symphony,PROPN,1
Technology,PROPN,2
Trends,PROPN,1
True,PROPN,1
University,PROPN,1
VII,PROPN,1
VR,PROPN,3
Video,PROPN,6
Wild,PROPN,1
York,PROPN,1
Zelda,PROPN,1
a,DET,65
ability,NOUN,5
about,ADP,1
access,VERB,1
accessibility,NOUN,1
acclaim,NOUN,1
accompany,VERB,2
accomplishment,NOUN,1
accord,VERB,1
accordingly,ADV,1
achievement,NOUN,2
act,VERB,1
acting,NOUN,1
action,NOUN,6
actor,NOUN,1
adapt,VERB,2
adaptive,ADJ,3
add,VERB,4
adjustment,NOUN,1
advance,NOUN,1
advance,VERB,1
advanced,ADJ,1
advancement,NOUN,3
advent,NOUN,1
adventure,NOUN,1
affect,VERB,1
after,SCONJ,1
aid,VERB,2
alert,ADJ,1
alert,VERB,2
algorithm,NOUN,2
align,VERB,1
aligns,VERB,3
all,DET,2
all,PRON,2
allow,VERB,4
also,ADV,4
ambient,NOUN,2
amplify,VERB,3
an,DET,19
ancient,ADJ,1
and,CCONJ,102
animation,NOUN,1
annual,ADJ,1
anticipate,VERB,1
any,DET,1
appreciate,VERB,1
appropriate,ADJ,1
art,NOUN,3
as,ADP,11
as,SCONJ,11
aspect,NOUN,2
associate,VERB,1
at,ADP,3
atmosphere,NOUN,5
attachment,NOUN,1
attention,NOUN,2
audience,NOUN,1
audio,ADJ,15
audio,NOUN,5
augment,VERB,2
award,NOUN,2
awe,ADV,1
back,ADV,1
background,NOUN,2
base,VERB,1
battle,NOUN,3
be,AUX,31
before,ADP,1
behind,ADP,1
believability,NOUN,1
between,ADP,3
beyond,ADP,2
billion,NUM,1
bond,NOUN,2
boss,NOUN,2
boundary,NOUN,3
bring,VERB,2
build,NOUN,1
build,VERB,2
but,CCONJ,2
by,ADP,17
can,AUX,27
captivate,VERB,1
captivating,ADJ,1
capture,VERB,2
carefully,ADV,2
category,NOUN,1
cavern,NOUN,1
celebrate,VERB,1
cement,VERB,1
certain,ADJ,2
challenge,NOUN,1
character,NOUN,5
choose,VERB,2
close,ADJ,1
closely,ADV,2
clue,NOUN,1
cognitive,ADJ,2
cohesive,ADJ,2
coin,NOUN,1
collaborate,VERB,2
collaboration,NOUN,1
come,VERB,2
complement,VERB,1
complexity,NOUN,1
component,NOUN,1
compose,VERB,2
composer,NOUN,4
concentration,NOUN,1
conclusion,NOUN,1
conduct,VERB,4
connect,VERB,1
connection,NOUN,6
consider,VERB,2
consistent,ADJ,1
continue,VERB,5
continuously,ADV,1
contrast,NOUN,1
contribute,VERB,4
contribution,NOUN,1
create,NOUN,1
create,VERB,30
creation,NOUN,1
creative,ADJ,1
creativity,NOUN,1
critical,ADJ,2
crucial,ADJ,6
cue,NOUN,7
cutscene,NOUN,1
cutting,NOUN,1
danger,NOUN,2
decision,NOUN,1
dedicate,VERB,1
dedicated,ADJ,1
deep,ADJ,2
deepen,VERB,3
deeply,ADV,1
depth,NOUN,1
design,NOUN,33
design,VERB,2
designer,NOUN,9
detailed,ADJ,1
developer,NOUN,17
development,NOUN,5
device,NOUN,1
different,ADJ,5
dimension,NOUN,1
distinct,ADJ,1
distinctive,ADJ,1
dive,VERB,1
diversity,NOUN,1
drive,VERB,1
during,ADP,4
dynamic,ADJ,3
easy,ADJ,1
echo,NOUN,1
edge,NOUN,1
edit,VERB,1
editing,NOUN,2
effect,NOUN,5
effective,ADJ,2
effectively,ADV,1
element,NOUN,8
elevate,VERB,3
embark,VERB,1
embrace,VERB,1
emotion,NOUN,15
emotional,ADJ,11
emotionally,ADV,1
enable,VERB,2
encourage,VERB,1
enemy,NOUN,1
energetic,ADJ,1
engage,VERB,2
engagement,NOUN,8
engaging,ADJ,5
enhance,VERB,25
enjoy,VERB,2
enjoyment,NOUN,2
ensure,VERB,6
environment,NOUN,3
epic,ADJ,3
equipment,NOUN,1
essence,NOUN,1
essential,ADJ,2
even,ADV,4
event,NOUN,4
every,DET,1
everyone,PRON,1
evoke,VERB,7
evolve,VERB,4
example,NOUN,2
excitement,NOUN,1
exhilarate,VERB,1
expand,VERB,1
expect,VERB,1
experience,NOUN,33
experienced,ADJ,1
experiment,NOUN,1
expert,NOUN,1
explore,VERB,2
extra,ADJ,1
fact,NOUN,1
factor,NOUN,1
fall,VERB,1
fan,NOUN,1
far,ADV,2
favorite,ADJ,1
fear,NOUN,1
feedback,NOUN,2
feel,VERB,4
fidelity,NOUN,1
field,NOUN,1
fight,NOUN,1
final,ADJ,1
find,VERB,2
finish,VERB,1
focus,NOUN,1
focus,VERB,2
foot,NOUN,1
footstep,NOUN,2
for,ADP,30
for,SCONJ,30
forest,NOUN,1
form,NOUN,2
forward,ADV,1
from,ADP,5
frontier,NOUN,1
fulfil,VERB,1
fully,ADV,3
function,NOUN,1
future,NOUN,1
gain,VERB,1
game,NOUN,67
gameplay,NOUN,18
gaming,NOUN,24
gather,VERB,2
generate,VERB,1
generation,NOUN,1
get,VERB,1
go,VERB,4
good,ADJ,1
graphic,NOUN,1
greatly,ADV,1
guide,NOUN,2
guide,VERB,3
harness,VERB,3
haunting,ADJ,2
have,AUX,22
have,VERB,22
hear,VERB,1
hearing,NOUN,1
heartbreaking,ADJ,1
heavily,ADV,1
height,NOUN,2
heighten,VERB,3
help,VERB,4
here,ADV,5
hide,VERB,1
high,ADJ,3
highlight,VERB,2
hint,NOUN,1
hold,VERB,1
honor,VERB,1
horror,NOUN,2
how,SCONJ,2
however,ADV,1
identify,VERB,1
immerse,ADJ,1
immerse,VERB,3
immersion,ADJ,3
immersion,NOUN,5
immersive,ADJ,14
impact,NOUN,5
impactful,ADJ,3
impairment,NOUN,1
implement,VERB,2
implementation,NOUN,1
importance,NOUN,4
important,ADJ,2
improve,VERB,3
in,ADP,63
include,VERB,2
incorporate,VERB,2
increase,VERB,6
incredible,ADJ,1
incredibly,ADV,1
indicate,VERB,1
industry,NOUN,7
influence,NOUN,1
influential,ADJ,1
information,NOUN,3
innovation,NOUN,1
innovative,ADJ,1
inspiring,ADJ,1
integral,ADJ,1
integrate,VERB,3
integration,NOUN,3
intense,ADJ,1
intensify,VERB,2
interactive,ADJ,2
into,ADP,4
intricacy,NOUN,1
intricate,ADJ,1
invest,VERB,2
invisible,ADJ,1
it,PRON,20
its,PRON,5
itself,PRON,1
journey,NOUN,3
joy,NOUN,1
just,ADV,1
keep,VERB,2
key,ADJ,11
landscape,NOUN,1
layer,NOUN,2
lead,VERB,1
leave,NOUN,1
leitmotif,NOUN,1
let,VERB,4
level,NOUN,4
life,NOUN,1
lifelike,ADJ,1
like,ADP,2
like,SCONJ,2
locate,VERB,1
long,ADJ,1
long,ADV,1
look,NOUN,1
look,VERB,1
low,ADJ,1
magic,NOUN,1
main,ADJ,1
make,VERB,8
market,NOUN,1
marketsandmarket,NOUN,1
may,AUX,1
mechanic,NOUN,3
melodic,ADJ,1
melody,NOUN,6
memorable,ADJ,3
meticulous,ADJ,1
moderate,ADJ,1
modern,ADJ,1
moment,NOUN,9
mood,NOUN,4
more,ADJ,5
more,ADV,7
moreover,ADV,1
most,ADJ,1
motion,NOUN,1
music,NOUN,40
musical,ADJ,1
musician,NOUN,1
narrative,NOUN,7
nature,NOUN,1
nearby,ADJ,1
new,ADJ,7
next,ADJ,2
normal,ADJ,1
nostalgia,NOUN,1
nostalgic,ADJ,1
not,PART,3
now,INTJ,1
nuance,NOUN,1
numerous,ADJ,1
object,NOUN,1
of,ADP,72
off,ADP,1
often,ADV,3
on,ADP,11
one,NOUN,1
one,NUM,2
only,ADV,3
opportunity,NOUN,1
opt,VERB,1
optimize,VERB,1
or,CCONJ,16
orchestral,ADJ,1
orchestrate,VERB,1
original,ADJ,1
our,PRON,2
outstanding,ADJ,1
over,ADP,1
overall,ADJ,9
own,ADJ,1
pack,VERB,1
pair,VERB,1
part,NOUN,3
partner,NOUN,1
pause,VERB,1
peak,NOUN,1
performance,NOUN,2
period,NOUN,1
piece,NOUN,1
pivotal,ADJ,1
platform,NOUN,2
play,VERB,9
player,NOUN,53
playtesting,NOUN,1
pleasing,ADJ,1
plot,NOUN,2
point,NOUN,2
popular,ADJ,1
possibility,NOUN,3
potential,NOUN,1
power,NOUN,7
powerful,ADJ,3
practical,ADJ,1
presence,NOUN,1
present,VERB,1
procedural,ADJ,1
processing,NOUN,1
produce,VERB,1
professional,ADJ,1
provide,NOUN,1
provide,VERB,7
purpose,NOUN,1
push,VERB,2
puzzle,NOUN,1
quality,NOUN,3
raindrop,NOUN,1
reach,VERB,2
reactive,ADJ,1
real,ADJ,1
realistic,ADJ,4
reality,NOUN,6
reason,NOUN,1
receive,VERB,2
recent,ADJ,2
recognition,NOUN,2
recognizable,ADJ,1
recognize,VERB,5
