word,lemma,part_of_speech,tag
AR,AR,PROPN,NNP
Advantage,Advantage,PROPN,NNP
Anchors,Anchors,PROPN,NNPS
Atmosphere,Atmosphere,PROPN,NNP
Audio,Audio,PROPN,NNP
Awards,Awards,PROPN,NNPS
Awards,Awards,PROPN,NNP
Breath,Breath,PROPN,NNP
Cues,Cues,PROPN,NNP
Dance,Dance,PROPN,NNP
Dance,Dance,PROPN,NNP
Design,Design,PROPN,NNP
Design,Design,PROPN,NNP
Design,Design,PROPN,NNP
Design,Design,PROPN,NNP
Design,Design,PROPN,NNP
Development,Development,PROPN,NNP
Different,Different,PROPN,NNP
Emotional,Emotional,PROPN,NNP
Emotional,Emotional,PROPN,NNP
Emotional,Emotional,PROPN,NNP
Engagement,Engagement,PROPN,NNP
Engagement,Engagement,PROPN,NNP
Enhanced,Enhanced,PROPN,NNP
Enhanced,Enhanced,PROPN,NNP
Enhancing,Enhancing,PROPN,NNP
Equipment,Equipment,PROPN,NNP
Evolution,Evolution,PROPN,NNP
Fantasy,Fantasy,PROPN,NNP
Focus,Focus,PROPN,NNP
Future,Future,PROPN,NNP
Game,Game,PROPN,NNP
Game,Game,PROPN,NNP
Game,Game,PROPN,NNP
Game,Game,PROPN,NNP
Game,Game,PROPN,NNP
Game,Game,PROPN,NNP
Gameplay,Gameplay,PROPN,NNP
Gameplay,Gameplay,PROPN,NNP
Gameplay,Gameplay,PROPN,NNP
Gameplay,Gameplay,PROPN,NNP
Games,Games,PROPN,NNPS
Games,Games,PROPN,NNPS
Gaming,Gaming,PROPN,NNP
Guitar,Guitar,PROPN,NNP
Hero,Hero,PROPN,NNP
Immersion,Immersion,PROPN,NNP
Implement,Implement,PROPN,NNP
Industry,Industry,PROPN,NNP
Influence,Influence,PROPN,NNP
Institute,Institute,PROPN,NNP
Invest,Invest,PROPN,NNP
Legend,Legend,PROPN,NNP
MIT,MIT,PROPN,NNP
Massachusetts,Massachusetts,PROPN,NNP
Mechanic,Mechanic,PROPN,NNP
Mechanics,Mechanics,PROPN,NNPS
Music,Music,PROPN,NNP
Music,Music,PROPN,NNP
Music,Music,PROPN,NNP
Music,Music,PROPN,NNP
Music,Music,PROPN,NNP
Music,Music,PROPN,NNP
Narrative,Narrative,PROPN,NNP
Orchestra,Orchestra,PROPN,NNP
Outstanding,Outstanding,PROPN,NNP
Platforms,Platforms,PROPN,NNPS
Player,Player,PROPN,NNP
Player,Player,PROPN,NNP
Potential,Potential,PROPN,NNP
Power,Power,PROPN,NNP
Power,Power,PROPN,NNP
Power,Power,PROPN,NNP
Power,Power,PROPN,NNP
Quality,Quality,PROPN,NNP
Reality,Reality,PROPN,NNP
Recognition,Recognition,PROPN,NNP
Remake,Remake,PROPN,NNP
Revolution,Revolution,PROPN,NNP
Rhythm,Rhythm,PROPN,NNP
Role,Role,PROPN,NNP
Role,Role,PROPN,NNP
Sound,Sound,PROPN,NNP
Sound,Sound,PROPN,NNP
Sound,Sound,PROPN,NNP
Sound,Sound,PROPN,NNP
Sound,Sound,PROPN,NNP
Sound,Sound,PROPN,NNP
Sound,Sound,PROPN,NNP
Sound,Sound,PROPN,NNP
Sound,Sound,PROPN,NNP
Sounds,Sounds,PROPN,NNPS
Soundtrack,Soundtrack,PROPN,NNP
Soundtracks,Soundtracks,PROPN,NNPS
Stimulation,Stimulation,PROPN,NNP
Symphony,Symphony,PROPN,NNP
Technology,Technology,PROPN,NNP
Technology,Technology,PROPN,NNP
Trends,Trends,PROPN,NNPS
True,True,PROPN,NNP
University,University,PROPN,NNP
VII,VII,PROPN,NNP
VR,VR,PROPN,NNP
VR,VR,PROPN,NNP
VR,VR,PROPN,NNP
Video,Video,PROPN,NNP
Video,Video,PROPN,NNP
Video,Video,PROPN,NNP
Video,Video,PROPN,NNP
Video,Video,PROPN,NNP
Video,Video,PROPN,NNP
Wild,Wild,PROPN,NNP
York,York,PROPN,NNP
Zelda,Zelda,PROPN,NNP
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
a,a,DET,DT
abilities,ability,NOUN,NNS
ability,ability,NOUN,NN
ability,ability,NOUN,NN
ability,ability,NOUN,NN
ability,ability,NOUN,NN
about,about,ADP,IN
access,access,VERB,VB
accessibility,accessibility,NOUN,NN
acclaim,acclaim,NOUN,NN
accompany,accompany,VERB,VB
accompanying,accompany,VERB,VBG
accomplishment,accomplishment,NOUN,NN
according,accord,VERB,VBG
accordingly,accordingly,ADV,RB
achievement,achievement,NOUN,NN
achievements,achievement,NOUN,NNS
acting,acting,NOUN,NN
action,action,NOUN,NN
actions,action,NOUN,NNS
actions,action,NOUN,NNS
actions,action,NOUN,NNS
actions,action,NOUN,NNS
actions,action,NOUN,NNS
actors,actor,NOUN,NNS
acts,act,VERB,VBZ
adapt,adapt,VERB,VB
adapt,adapt,VERB,VBP
adaptive,adaptive,ADJ,JJ
adaptive,adaptive,ADJ,JJ
adaptive,adaptive,ADJ,JJ
add,add,VERB,VB
adding,add,VERB,VBG
adding,add,VERB,VBG
adding,add,VERB,VBG
adjustments,adjustment,NOUN,NNS
advanced,advanced,ADJ,JJ
advancements,advancement,NOUN,NNS
advancements,advancement,NOUN,NNS
advancements,advancement,NOUN,NNS
advances,advance,NOUN,NNS
advancing,advance,VERB,VBG
advent,advent,NOUN,NN
adventure,adventure,NOUN,NN
affect,affect,VERB,VB
after,after,SCONJ,IN
aid,aid,VERB,VBP
aids,aid,VERB,VBZ
alert,alert,ADJ,JJ
alert,alert,VERB,VB
alerting,alert,VERB,VBG
algorithms,algorithm,NOUN,NNS
algorithms,algorithm,NOUN,NNS
aligning,align,VERB,VBG
aligns,aligns,VERB,VBP
aligns,aligns,VERB,VBP
aligns,aligns,VERB,VBP
all,all,DET,DT
all,all,PRON,DT
allow,allow,VERB,VB
allowing,allow,VERB,VBG
allows,allow,VERB,VBZ
allows,allow,VERB,VBZ
also,also,ADV,RB
also,also,ADV,RB
also,also,ADV,RB
also,also,ADV,RB
ambient,ambient,NOUN,NN
ambient,ambient,NOUN,NN
amplify,amplify,VERB,VB
amplifying,amplify,VERB,VBG
amplifying,amplify,VERB,VBG
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
an,an,DET,DT
ancient,ancient,ADJ,JJ
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
