word,lemma,part_of_speech,tag,absolute_frequency
AR,AR,PROPN,NNP,1
Advantage,Advantage,PROPN,NNP,1
Anchors,Anchors,PROPN,NNPS,1
Atmosphere,Atmosphere,PROPN,NNP,1
Audio,Audio,PROPN,NNP,1
Awards,Awards,PROPN,NNPS,1
Awards,Awards,PROPN,NNP,1
Breath,Breath,PROPN,NNP,1
Cues,Cues,PROPN,NNP,1
Dance,Dance,PROPN,NNP,2
Design,Design,PROPN,NNP,5
Development,Development,PROPN,NNP,1
Different,Different,PROPN,NNP,1
Emotional,Emotional,PROPN,NNP,3
Engagement,Engagement,PROPN,NNP,2
Enhanced,Enhanced,PROPN,NNP,2
Enhancing,Enhancing,PROPN,NNP,1
Equipment,Equipment,PROPN,NNP,1
Evolution,Evolution,PROPN,NNP,1
Fantasy,Fantasy,PROPN,NNP,1
Focus,Focus,PROPN,NNP,1
Future,Future,PROPN,NNP,1
Game,Game,PROPN,NNP,6
Gameplay,Gameplay,PROPN,NNP,3
Games,Games,PROPN,NNPS,2
Gaming,Gaming,PROPN,NNP,1
Guitar,Guitar,PROPN,NNP,1
Hero,Hero,PROPN,NNP,1
Immersion,Immersion,PROPN,NNP,1
Implement,Implement,PROPN,NNP,1
Industry,Industry,PROPN,NNP,1
Influence,Influence,PROPN,NNP,1
Institute,Institute,PROPN,NNP,1
Invest,Invest,PROPN,NNP,1
Legend,Legend,PROPN,NNP,1
MIT,MIT,PROPN,NNP,1
Massachusetts,Massachusetts,PROPN,NNP,1
Mechanic,Mechanic,PROPN,NNP,1
Mechanics,Mechanics,PROPN,NNPS,1
Music,Music,PROPN,NNP,6
Narrative,Narrative,PROPN,NNP,1
Orchestra,Orchestra,PROPN,NNP,1
Outstanding,Outstanding,PROPN,NNP,1
Platforms,Platforms,PROPN,NNPS,1
Player,Player,PROPN,NNP,2
Potential,Potential,PROPN,NNP,1
Power,Power,PROPN,NNP,4
Quality,Quality,PROPN,NNP,1
Reality,Reality,PROPN,NNP,1
Recognition,Recognition,PROPN,NNP,1
Remake,Remake,PROPN,NNP,1
Revolution,Revolution,PROPN,NNP,1
Rhythm,Rhythm,PROPN,NNP,1
Role,Role,PROPN,NNP,2
Sound,Sound,PROPN,NNP,9
Sounds,Sounds,PROPN,NNPS,1
Soundtrack,Soundtrack,PROPN,NNP,1
Soundtracks,Soundtracks,PROPN,NNPS,1
Stimulation,Stimulation,PROPN,NNP,1
Symphony,Symphony,PROPN,NNP,1
Technology,Technology,PROPN,NNP,2
Trends,Trends,PROPN,NNPS,1
True,True,PROPN,NNP,1
University,University,PROPN,NNP,1
VII,VII,PROPN,NNP,1
VR,VR,PROPN,NNP,3
Video,Video,PROPN,NNP,6
Wild,Wild,PROPN,NNP,1
York,York,PROPN,NNP,1
Zelda,Zelda,PROPN,NNP,1
a,a,DET,DT,65
abilities,ability,NOUN,NNS,1
ability,ability,NOUN,NN,4
about,about,ADP,IN,1
access,access,VERB,VB,1
accessibility,accessibility,NOUN,NN,1
acclaim,acclaim,NOUN,NN,1
accompany,accompany,VERB,VB,1
accompanying,accompany,VERB,VBG,1
accomplishment,accomplishment,NOUN,NN,1
according,accord,VERB,VBG,1
accordingly,accordingly,ADV,RB,1
achievement,achievement,NOUN,NN,1
achievements,achievement,NOUN,NNS,1
acting,acting,NOUN,NN,1
action,action,NOUN,NN,1
actions,action,NOUN,NNS,5
actors,actor,NOUN,NNS,1
acts,act,VERB,VBZ,1
adapt,adapt,VERB,VB,1
adapt,adapt,VERB,VBP,1
adaptive,adaptive,ADJ,JJ,3
add,add,VERB,VB,1
adding,add,VERB,VBG,3
adjustments,adjustment,NOUN,NNS,1
advanced,advanced,ADJ,JJ,1
advancements,advancement,NOUN,NNS,3
advances,advance,NOUN,NNS,1
advancing,advance,VERB,VBG,1
advent,advent,NOUN,NN,1
adventure,adventure,NOUN,NN,1
affect,affect,VERB,VB,1
after,after,SCONJ,IN,1
aid,aid,VERB,VBP,1
aids,aid,VERB,VBZ,1
alert,alert,ADJ,JJ,1
alert,alert,VERB,VB,1
alerting,alert,VERB,VBG,1
algorithms,algorithm,NOUN,NNS,2
aligning,align,VERB,VBG,1
aligns,aligns,VERB,VBP,3
all,all,DET,DT,2
all,all,PRON,DT,2
allow,allow,VERB,VB,1
allowing,allow,VERB,VBG,1
allows,allow,VERB,VBZ,2
also,also,ADV,RB,4
ambient,ambient,NOUN,NN,2
amplify,amplify,VERB,VB,1
amplifying,amplify,VERB,VBG,2
an,an,DET,DT,19
ancient,ancient,ADJ,JJ,1
and,and,CCONJ,CC,102
animations,animation,NOUN,NNS,1
annual,annual,ADJ,JJ,1
anticipate,anticipate,VERB,VB,1
any,any,DET,DT,1
appreciate,appreciate,VERB,VB,1
appropriate,appropriate,ADJ,JJ,1
are,be,AUX,VBP,15
art,art,NOUN,NN,3
as,as,SCONJ,IN,11
as,as,ADP,IN,11
aspect,aspect,NOUN,NN,1
aspects,aspect,NOUN,NNS,1
associated,associate,VERB,VBN,1
at,at,ADP,IN,3
atmosphere,atmosphere,NOUN,NN,5
attachment,attachment,NOUN,NN,1
attention,attention,NOUN,NN,2
audience,audience,NOUN,NN,1
audio,audio,NOUN,NN,5
audio,audio,ADJ,JJ,15
augmented,augment,VERB,VBD,2
awards,award,NOUN,NNS,2
awe,awe,ADV,RB,1
back,back,ADV,RB,1
background,background,NOUN,NN,2
based,base,VERB,VBN,1
battle,battle,NOUN,NN,3
be,be,AUX,VB,4
been,be,AUX,VBN,2
before,before,ADP,IN,1
behind,behind,ADP,IN,1
believability,believability,NOUN,NN,1
best,good,ADJ,JJS,1
between,between,ADP,IN,3
beyond,beyond,ADP,IN,2
billion,billion,NUM,CD,1
bond,bond,NOUN,NN,2
boss,boss,NOUN,NN,2
boundaries,boundary,NOUN,NNS,3
bring,bring,VERB,VB,2
build,build,VERB,VB,1
build,build,NOUN,NN,1
building,build,VERB,VBG,1
but,but,CCONJ,CC,2
by,by,ADP,IN,17
can,can,AUX,MD,27
captivate,captivate,VERB,VBP,1
captivating,captivating,ADJ,JJ,1
capture,capture,VERB,VBP,1
